NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
mati suwába ruyé échi tío ba		‘Y ya le dijimos todo al tío’			tx84[04_296-04_318].wav
na he riká paní rikowáta... rikowáta yém ka riké		‘Allá era por arriba en los cerros’		check phon	tx84[04_442-04_479].wav
écho ná (bi)chéti shimíbiki nayónka ka		‘Allí fuimos los cuatro’		[BF: nayón-ka ka: fuimos los cuatro (inclusivo); nayón-ka: fueron los cuatro]	tx84[04_479-04_505].wav
ripá...ripá paníki rapichí ba		‘Arriba ... arriba en las lajas’			tx84[04_579-05_002].wav
a'rí choná...choná hónsa ta okó ripá na wihá wicháro ra		‘Y allí ... y entonces lo dejó colgado arriba en un pino’			tx84[05_002-05_053].wav
we so'éka uchári chiná pachána na okóriri		‘Lo dejó muy bien atorado adentro en el pino’			tx84[05_053-05_086].wav
a'rí ma birá á warú ko'ári cho choná ba		‘Y luego ya había comido mucho allí’			tx84[05_086-05_115].wav
wa'rú chiba rosákami ke		Era una chiva grande, blanca’			tx84[05_115-05_139].wav
“ke na...na...émi ko'méa orária ré”		‘“Si no se iba a comer a ustedes”’			tx84[05_208-05_238].wav
“arína ketimi buyáram pa”		‘“Nomás que ustedes no salieron”’			tx84[05_238-05_258].wav
“a'rí chiba birá (')wíniri, kúmi aré wíniri?”		‘“Y luego fue por una chiva, de dónde lo traería”’			tx84[05_258-05_285].wav
we miká iyénira rikó chiba wiyá		‘Fue muy lejos a traer la chiva’			tx84[05_326-05_352].wav
káchi wéshi pukéami rihówi choná murípi ko chiba ba		‘Allí cerquita nadie tenia chiva’			tx84[05_352-05_387].wav
a'rí ma biráti á riwá choná chukúami		‘Y ya vimos que estaba muerta allí’		check phon	tx84[05_387-05_436].wav
a'rí he aní tío: “á riwéshi, kíti biré chapishí échi”		‘Y dijo mi tío: “déjenlo no lo tienten”’			tx84[05_436-05_465].wav
“nokí omorúami á chukaké échi chiba ba”		‘Casi estaba completa la chiva’			tx84[05_465-05_493].wav
choná á hiyéri ne tíora ko:		‘Allí le siguió la huella mi tío’			tx84[05_518-05_541].wav
“we bi wéri raréami níri ba...”		‘“Tenía los pies bien grandes”’			tx84[05_563-05_584].wav
“ma birá ke ité ne léa wirí choná rapichí nápu ko na na...me'ári ba”		‘“Ya no estaba, estaba lleno de sangre allí en las lajas donde anduvo”			tx84[05_584-06_031].wav
“chu aré riká pári ba? binói ko á apéa pári rre pa”		‘“Cómo lo traería? Lo traería en el lomo él”’			tx84[06_031-06_065].wav
“ma kirí ma koríti shimábo shinéami mi		‘“Mejor vámonos todos allá para aquel lado”’			tx84[06_119-06_146].wav
“ápu ko na ránchochi...nám ápu tamó muchúwi”, he aní		‘“En el rancho donde estamos nosotros”, dijo’			tx84[06_146-06_183].wav
“ma na ...ma oché norínima ré basachí na		porque va abenir otra ves el coyote			tx84[06_183-06_212].wav
échi na...échi namúti na...échi marióchichiba ko'áshia hípi rokó”		esa cosa el leon a comer la chiva esta noche			tx84[06_212-06_260].wav
“che cho émi mi nawíumi ré ma pe murípi pe chukú échi chiba ba”		alomejor les llega otra ves es cerca esta esa chiva			tx84[06_260-06_293].wav
he birá aní tamó tíora ko		nos decia mucho mi tio			tx84[06_293-06_312].wav
ésa biráti shimía ba aminá miná koríti....koríti...koríti ránchochi ba		seramos bien y nos fuimos alla padeque lado a otro rancho			tx84[06_350-06_394].wav
a'rí kíni tío ko ma birá mi chimí (chomí) á noríni tamuhé naháta á ba		y mi tio asta alla fue asegirnos a nosotras			tx84[06_410-06_454].wav
ma ku nawása choná na aserradérochi hónsa nócha inása		ya cuando se bino de trabajar del aseradero			tx84[06_454-06_489].wav
mati ará ruwé pa		y ya le contamos			tx84[06_519-06_533].wav
a'rí kíni...kíni papáwa ko ma birá á chá ku shíri cho ba		y mis papas ya tambien llegaron			tx84[07_009-07_045].wav
a'rí mati á ruwé cho ba		y ya tambien le contamos			tx84[07_045-07_060].wav
ma biráti riwíri kúmi yéna na me'ára chiba ba chu rikáachi na ichára ba		y ya les enseñamos donde andubo de donde trajo la chiva y enque parte lo dejo			tx84[07_060-07_106].wav
a'rí...a'rí...aparí tamuhé ku shi		y cuando llegamos nosotras			tx84[07_106-07_133].wav
ma káchi itéeri chiba ke biré namúti		ya no estaba la chiva ya nada			tx84[07_133-07_152].wav
kum ko tóri ba		donde lo llebaria			tx84[07_152-07_161].wav
ma birá binói shuwára aré ná ripáki rabó tóri re pa		se lo acabo o se lo llevo para el cerro			tx84[07_161-07_186].wav
a'rí na we biráti á mahawá tamó alína ba káchi we miká rihói ma ba harré cho ko ba		y ya teniamos mucho miedo nosotras porque otros vivian muy lejos de alli			tx84[07_202-07_259].wav
a'ríti we mahá		y teniamos mucho miedo			tx84[07_283-07_290].wav
a'rí hónsa ko ma shinéami á napawíka piré arí hónsa ko ba		y entonses de alli ya todos vivian juntos desde entonses			tx84[07_339-07_384].wav
ma pe chikí birá hu échi riká birá níri chabé ko ba tamuhé kúchi káchi ba		ya es deste tanto asi era antes cuando nosotra eramos chiquitas			tx84[07_428-07_492].wav
natétara ba		gracias			tx84[07_492-07_525].wav
na ko chabé birá ki'á ... échi aní kíni aparóchi ko na		ya hace muchos años que mi abuelo decía			tx88[00_151-00_206].wav
a birá ko biréna risochí ... wirímna risochí hu choná ko na á birán ra'é chiná birá a yénari cho		en una cueva ...que era muy larga la cueva, sí la conozco ahí anduve			tx88[00_209-00_290].wav
he biráni kíti na murípi shimíro écho ná pachári risochí		me dijo que no pasara cerca de adentro de la cueva			tx88[00_374-00_416].wav
échi risochí ko na wiká mo'íri chabé ki'á kúchi kúchi		en esa cueva antes entraron muchos niños			tx88[00_419-00_475].wav
ke biré ku bu'ári he birá aní ba tamí birá chané pa		no salieron, dijeron, pues así me dijo			tx88[00_478-00_512].wav
a'rí binóo ko he birá aní ná ... náa...		y entonces él dijo			tx88[00_577-01_020].wav
a'mí pachámi bér á mo'íra ra ba, risochí pachá mo'íra ruá, banisúa cho ba murípi simársuwa ka ba		que se metieron adentro de la cueva, adentro de la cueva, y que los jalaban cuando pasaban cerca			tx88[01_021-01_084].wav
tamí birá banisúa ruá		que lo jalan a uno			tx88[01_085-01_104].wav
a'rí ko na		entonces			tx88[01_105-01_119].wav
échi béri ikíra ruá échi kúuchi ko ba, pachám mo'íra ruá wikabé á níra ruá		pues entonces eso les pasó a los niños, entraron adentro, eran muchos			tx88[01_129-01_180].wav
a'rí ko ma birá ke ku bujára ruá		entonces ya no salieron (nunca)			tx88[01_181-01_207].wav
kawí ba écho ná piréa ba échi mi shimíara ba,he birá tamí ané ba		hay otro mundo aparte, allá viven, allá se fueron, así me dijo			tx88[01_420-01_466].wav
a'rí shiné birá tamí échi ané choná		y entonces en una vez fue cuando me dijo allí			tx88[01_567-01_593].wav
biré kabájo birá ko mukúra ruá choná ke ritiwía ruá échi kabájo ko, a'rí áa énira ruá		se murió un caballo allí, no lo encontraban al caballo, y que lo andaban buscando			tx88[01_597-02_058].wav
ke omérara ruá échi ko shimíra wa'rú níra ré échi ko kabájo pachám ba		creen que no podía pasar, era muy grande el caballo, por adentro			tx88[02_102-02_143].wav
a'rí na cha'íra rúa pacháki ... ke oméara ruá pachámi shimírira		y que creen que se atoró el caballo y ya no pudo ir más para adentro			tx88[02_248-02_299].wav
shimírare ré pe choná birá cha'iká chukúra ra mukuká		y ahí estaba atorado bien muerto			tx88[02_301-02_334].wav
we birá ... á wi'rímna nísa riká ruá we pachámi á nahátuwa ka ba		que parecía que estba bien largo, que si le hubieran seguido más para adentro...			tx88[02_460-02_499].wav
á birá ... we á chaniríwami cho ko ru chabé ki'á hónsa chiriká		él sabía que ya tenía mucho tiempo el agujero			tx88[02_526-02_565].wav
a'rí ná ... ke birán ché iyéna hípi ko ba, á birán		nomás que ahora no he ido otra vez			tx88[03_025-03_069].wav
ma a'rá ruwésuwa ka ba, a biráti murípi á shimári cho kíni aparóchi yúa ko ba ki'á ko ba		ya cuando me dijeron, sí pasaba cerquita con mi abuelito antes			tx88[03_124-03_171].wav
a'rí ko ma kinána ko ma ke		y entonces ya después ya no			tx88[03_175-03_202].wav
a'rí hípi ko ma biráni ke iyéna ka atí ba á birá chiriká á wiriká ruá choná ko á ba, á birá we'rémini ká riké risochí pachámi		pues ahora ya no he ido, peor me dicen que está igual la cueva y es bien ancha esa cueva			tx88[03_206-03_280].wav
échi be ko tamí chíri... na ... nawésuri ba		pues él fue el que así me dijo			tx88[03_368-03_403].wav
hípi ko ná á birán we ám náta ínara cho á ba		y ahora a veces me acuerdo			tx88[03_410-03_440].wav
híti bér án échi chiriká ra'ícha atí na'í ba		por eso te estoy platicando aqui			tx88[03_442-03_467].wav
ma pe chikí hu pa ... matétara ba		ya es todo ... gracias			tx88[03_474-03_507].wav
chabé ne yéra ko birá he maní achaní ba na...		‘Antes mi mama decia, este...’	‘Before, my mom would say...’		tx905[00_000-00_063].wav
háp arí he rikó omáuri ni shimíra hípi noríruachi sébachi kam pa ní		‘Asi como ahora pasa esta fiesta, como ahora se está llegando semana santa’	‘In times like now that the celebrations pass, like today the holy week is comming up’		tx905[00_063-00_119].wav
a'rí ko na... tamó chaniríame ke kúuchi ka		‘A nosotros nos decían cuando eramos chiquitos’	‘We were told when we were small’		tx905[00_180-00_222].wav
hípi ma sébachi ko		cuando se llega semana santa’	when the holy week arrives’		tx905[00_291-00_315].wav
we risóa nirá ruá onorrúam ko		‘Dicen que dios esta sufriendo mucho’	‘They say that God is suffering a lot’		tx905[00_315-00_343].wav
hu'íra noká ré échi onorrúam pa		‘Para ayudar bien a Dios’	‘So we can help out God’		tx905[00_403-00_432].wav
maháruamti ke tamó a'rí ko na...		‘Nos asustaban y luego...’	‘We were being scared and then...’		tx905[00_483-00_515].wav
tamó chané ne yéra ko na...		‘Nos decía mi mamá’	‘My mom would tells us’		tx905[00_515-00_540].wav
hápi á ko'á ko na...ba'wéchi pakéba ruái		‘Que los que comían los iban a remojar en el agua’	‘That those who would eat would be thrown into the water’		tx905[00_540-00_577].wav
kíti ko náa ... échi pariséo bachá ko'méa ruá orá na ko'áam ko a'rí tamó ko ma u'pá		‘Y luego decían que los fariseos tenían que comer primero la comida y nosotros después’	‘And then they would say that the fariseos would eat firtst and us last’		tx905[01_073-01_151].wav
kíti ko échi ko we rishía ru ruwáam éna tiyópichi ba ni noríra		‘Porque ellos se cansaban mucho andar en la iglesia dando vuelta’	‘Because they would get really tired from going around the church turning around’		tx905[01_151-01_210].wav
a'rí kíti ko náa ...		‘Por eso ...’	‘And that is why...’		tx905[01_210-01_235].wav
onorrúam kítara biráti ke ko'póa ruá tamó kíti ko náa ... échi we risóa niráa		‘Dicen que por dios no tenemos que comer nosotros, porque el esta sufriendo mucho’	‘They say that because of God we shouldn’t eat, us,. because he is suffering a lot’		tx905[01_235-01_301].wav
we risóati yénra ré kíti ko ma murípi miribóa riwéera re ba		‘Anduvo sufriendo mucho porque ya casi lo mataron’	‘He was suffering because he was almost murdered’		tx905[01_301-01_349].wav
chu riká shi cho aré		‘(Cómo (será) más...)’	‘(What else...)’		tx905[01_349-01_398].wav
échi riká birá manía aní ne yéra ko ba		‘Así decía mi mamá’	‘That’s what my mom used to say’		tx905[01_398-01_430].wav
narína ho hípi ko ma biráti ke me wichíwa aré pa		‘Ahora ya no creemos eso, yo creo’	‘We don’t believe in that anymore’		tx905[01_471-01_510].wav
kíti ko náa ... kúuchi ko we á bi'á ko'á hípi ba		‘Porque los niños ahora comen temprano’	‘Because children eat early nowadays’		tx905[01_510-01_563].wav
tamó ko á birá wichíbam ke chabé ba hípi ko ma biráti ke cho wichíba		‘Nosotras si creíamos antes’ ‘Ahora ya no creemos’	‘We used to believe before’ ‘We don’t believe anymore’		tx905[01_563-02_014].wav
mati wikáwi ré échi rik´pa ra'íchiri ba		‘Ya perdimos esa platica de arriba’	‘We already lost those words’		tx905[02_014-02_041].wav
na ti ke biré birá wichíbam (que) ápu riká hípi ochéram mo ko ba		‘Ahora ya no creemos lo que crecemos ahora’	‘Now we don’t believe it those who are growing up now’		tx905[02_085-02_140].wav
ma a'rá 		‘Ya’	‘That’s it’		tx905[02_140-02_153].wav
na birán ra'ichámo rá pe táa nápu riká náa		voy a hablar poquito de así como			tx977[00_220-00_252].wav
benéa nokári chabé tamuhé kúrso mi tú eskuélachi nápu na mukí karírachi		nos enseñaron antes allá abajo en un curso en casa de las mujeres			tx977[00_252-00_304].wav
bilá shíri cho harré cho nápu riká		llegaron unos como			tx977[00_304-00_332].wav
sahuaníto ka piréami ke re o chihuahua piréami ke re		unos de San Juanito o de Chihuahua serían			tx977[00_332-00_373].wav
mochíbo échi kúrso		para estar en ese curso			tx977[00_530-00_555].wav
nápi riká ke me su'uwáma ba chu ... nápu ikí namúti nirú na'í, na'í wichimóba, nápu rikáti		para que no se acabe todo lo que hay en este mundo			tx977[01_062-01_149].wav
nápu riká tamí riwéeri ré pa échi onorúami chabé ki'á hónsa ba		como nos dejo dios desde antes			tx977[01_149-01_196].wav
ma ni kawichí birá aré ba		en todo el mundo yo creo			tx977[01_266-01_288].wav
échi okó pa		los pinos			tx977[01_338-01_362].wav
échi ba'wí ma ba ni		y el agua			tx977[01_406-01_435].wav
échi wi'é bachá ba		primero la tierra			tx977[02_010-02_033].wav
we mi'tésa ra échi okó ba ni échi okó birá ka ra, nápu riká na		si tumbamos muchos pinos dicen que los pinos son los que			tx977[02_262-02_310].wav
chapiká chukuké re échi we'é pa		los que detienen la tierra			tx977[02_310-02_343].wav
échi riká birát anéeri tamuhé choná a'rí		así nos dijieron nosotros allí			tx977[02_370-02_406].wav
wikabé namúti biráti á benéri ba		nos enseñaron muchas cosas			tx977[02_406-02_433].wav
chu riká tibúpo échi		como cuidar eso			tx977[02_433-02_456].wav
nápi rikáti owáami hu ba		así como nos curamos			tx977[02_493-02_518].wav
a'rí chihónsa		y luego			tx977[02_518-02_544].wav
suwábika nápi ki nirúura í kawichí ba		todo lo que hay en este mundo			tx977[02_544-02_592].wav
nápi riká échi okó suwása ke biráti ukérami níba ruá tamuhé kinána rawé ba		si gastamos los pinos dicen que ya no nos va a llover ya después			tx977[03_071-03_134].wav
échi o'wéri okó narína we a'rá bayéa ba'wí ra rá échi		los pinos grandes son los que le hablan más bien la lluvia			tx977[03_548-03_592].wav
bachá ochérami níri ba, nápi riká tamuhé wénara ke re tamó aparochara ke re, na		lo que crecieron primero nuestros papas o nuestros abuelitos			tx977[04_166-04_240].wav
wabé chabé ko we birá a'rá na okéera ra na'í cho		antes dicen que había muchos pinos aquí			tx977[04_240-04_279].wav
tamuhé umúara, aparóchara rihóachi níri ré		cuando vivían los bisabuelos de nuestros abuelitos yo creo			tx977[04_279-04_327].wav
buyári ré pa o'wéri mákina ba nápi riká okóm rapanáara arí ba		salieron las maquinas grandes para partir las tablas			tx977[04_443-04_492].wav
a'rí birá ma we síra rá échi chabóchi échi okó raráam pa a'rí chihónsa béri ko		y dicen que ya habían llegado muchos chabochis que partían las tablas y luego compraron los pinos			tx977[04_492-04_545].wav
rihóori ré benéam ko nápu riká na		los que entendia como			tx977[05_058-05_086].wav
inámam ko ru ma ba ní		en español			tx977[05_086-05_112].wav
a'rí échi béli ko yúa ra'íchika nokári ré ba nápi riká okó na		con ellos hablaron para los pinos			tx977[05_112-05_154].wav
